OrderID,CustomerID,OrderDate,Product,Category,Quantity,Price,City,Status
1000,71299889-a01a-4992-bf9d-3e64c1a6423b,2025-03-04,Puzzle,Toys,3,119.63,gaziantep,Returned
1001,8c99a894-445d-4c38-b41c-64940d366dfc,2025-04-27,Jacket,Clothing,3,363.91,konya,
1002,e17f29e1-7028-4046-89bc-473fed7bf656,2024-08-25,Puzzle,Toys,2,89.92,ankara,
1003,f920264c-0763-4cd0-9f15-c7b67c16128d,2025-04-03,Blocks,Toys,1,128.87,istanbul,Delivered
1004,b5b453ca-3d42-493c-8c9f-d3349bdf0377,2025-03-07,Table,Home,1,137.82,izmir,Delivered
1005,8d605936-0380-4b70-8d03-c91e4f8d5238,2024-09-05,Comics,Books,3,270.14,izmir,Delivered
1006,d7665cda-fe04-4059-b985-fb6217dc8eff,2024-12-11,Jeans,Clothing,5,209.64,izmir,Cancelled
1007,1e1242e3-f272-42b6-b621-72ed1d0bc9bd,2025-06-25,Sofa,Home,1,131.91,izmir,Delivered
1008,eec259dc-7f95-497c-a76a-a6ced50755d9,2025-03-14,Blocks,Toys,1,358.35,ankara,Delivered
1009,45ff2c83-b495-4b4e-8245-6fb44ab7706e,2025-04-10,Puzzle,Toys,3,169.32,istanbul,Cancelled
1010,78e3654b-faf1-4ff0-bb85-179ad5b077e0,2024-12-14,Jeans,Clothing,3,207.52,gaziantep,Delivered
1011,6232b17a-2507-4181-8d1f-b54074eff545,2024-10-08,Car,Toys,1,322.71,gaziantep,Delivered
1012,bf0d073d-821c-4336-9970-cf60ebff8d15,2024-09-18,Doll,Toys,1,250.37,ankara,Delivered
1013,46b82659-11df-42d7-9d30-de8922f235f2,2025-06-12,Lamp,Home,1,258.24,adana,Returned
1014,57021049-6a39-4aa6-9aba-c50dca3dd859,2025-05-02,Shoes,Clothing,1,16.38,ankara,Cancelled
1015,d20f87d0-4465-4d6b-81fb-18b3c9a7d91f,2025-07-03,T-Shirt,Clothing,3,250.8,izmir,Cancelled
1016,d664d264-4c6e-47ff-b9de-7a3a486822b9,2024-07-06,Notebook,Books,4,156.14,ankara,Returned
1017,7d5911c6-a8f1-4091-bfb8-102d9475dbc9,2025-02-18,Doll,Toys,4,316.63,konya,
1018,7bfdcc12-89e0-4ab3-b250-ee18260a5962,2025-06-07,T-Shirt,Clothing,1,202.82,gaziantep,Returned
1019,8b1e3b9d-c34b-4fbb-8d4a-75b8551ac8ea,2024-11-17,Doll,Toys,1,199.09,konya,Delivered
1020,de9e3757-5260-401e-aecf-67d2749176f4,2024-11-29,Puzzle,Toys,4,-52.57,gaziantep,Returned
1021,9261549d-3d22-4c30-b28f-41defb140bc3,2024-09-17,Laptop,Electronics,1,-206.4,izmir,Returned
1022,69288e92-c68a-452f-9b23-aa8c3bcabf85,2024-12-01,Chair,Home,1,205.66,konya,Returned
1023,b489d070-7914-48a8-bea4-ff31517400f8,2024-07-22,Tablet,Electronics,1,252.97,izmir,
1024,fd08b32c-62d6-4e93-a198-5d54cfb87e6f,2025-06-25,Notebook,Books,1,79.03,gaziantep,Delivered
1025,fb16e5db-a6ea-479e-921c-82f8cada4f80,2025-03-20,Phone,Electronics,1,259.99,bursa,Cancelled
1026,2051acef-097a-4e10-b6fe-bc0e7ecddbaf,2024-09-03,Lamp,Home,2,143.64,izmir,Cancelled
1027,dea4ae17-54fd-4ad3-9716-108ef72169bb,2025-01-17,Phone,Electronics,1,158.91,gaziantep,Cancelled
1028,1986b4b2-70b7-4868-9854-80f0dfcaf0b7,2024-08-13,Laptop,Electronics,1,216.06,bursa,Cancelled
1029,b8f21423-03ed-41f8-b4f9-3d17e912b4bf,2025-01-26,T-Shirt,Clothing,2,200.3,konya,Returned
1030,f84f16b3-a79f-4faf-9ef5-768968f45bce,2024-08-30,Lamp,Home,1,187.15,konya,Cancelled
1031,f81dbaa1-c812-4a8e-b830-89301327f1bc,2024-09-03,Jeans,Clothing,2,298.94,gaziantep,Cancelled
1032,65c17795-b155-46bc-9f8d-ed9756abf2f1,2024-10-16,Chair,Home,1,-142.35,konya,Delivered
1033,da330aa1-541c-4fcd-9a0d-4a5f148f8b74,2025-03-15,Chair,Home,2,-59.1,bursa,Returned
1034,f4427e0b-6148-4bb3-889b-78d5dbfdd97e,2025-03-24,Chair,Home,1,100.59,bursa,
1035,c268283e-e32f-4e63-b7fd-dd71a075e927,2024-11-05,Blocks,Toys,2,196.91,konya,
1036,9e11d2cd-0930-4ef6-8a80-068ddf547e50,2025-01-11,Jacket,Clothing,1,182.71,izmir,Returned
1037,ebc2026f-af34-4f65-a193-c4b23c19e71d,2024-08-01,Lamp,Home,3,371.17,bursa,
1038,1723199d-bf2c-44a0-ba3c-8a71ff574e2b,2024-10-25,Car,Toys,3,-267.79,istanbul,Returned
1039,a23d4c2f-c2a7-4689-9933-918cfa745761,2024-12-21,Shoes,Clothing,5,151.21,izmir,
1040,2a96e1e2-7194-4ae2-99ba-d7aedf615a5c,2025-04-05,Doll,Toys,1,80.87,gaziantep,Delivered
1041,0bc61066-0769-465f-a746-ccb94ca9cf07,2025-04-01,Headphones,Electronics,2,206.27,ankara,
1042,5bc440f1-4b1a-469b-8e5d-d462cbd00ef2,2024-11-08,Tablet,Electronics,1,65.29,istanbul,Delivered
1043,87fa841a-3e83-491f-a544-0fe06e417d47,2024-11-28,Tablet,Electronics,2,102.84,konya,Returned
1044,2e183554-cae2-4e66-ae8a-781390e0a95b,2024-12-13,Jacket,Clothing,1,318.57,gaziantep,Cancelled
1045,deef580f-9c07-4751-9437-45092cd1586a,2024-09-10,Phone,Electronics,1,271.9,gaziantep,
1046,7f671eec-3da7-4577-aee1-e86b9ea556aa,2024-12-01,Blocks,Toys,4,167.73,istanbul,
